origin,h,S,log_w
2018-04,6,2.633434648781352e-05,-4689.7314365693255
2018-04,7,0.00019592476828071519,-5418.6078256709825
2018-04,8,0.0002774971682019643,-5793.969387331257
2018-04,9,0.0003587443916863043,-6063.351918867882
2018-04,10,0.0005552289275108663,-6210.947050440797
2018-04,11,0.000390942834443791,-6359.275903901858
2018-04,12,0.0003815319800946305,-6507.341912102444
2018-05,1,1.4904348464891103e-05,-0.33436326711751174
2018-05,2,0.0002227917460319818,-4.334916694390879
2018-05,3,0.00017803932033671078,-10.286531766741799
2018-05,4,0.0002735715641557302,-2169.807465372449
2018-05,5,0.00034244965908063023,-3779.3138851635986
2018-05,6,0.0005127038290482317,-4702.550382471398
2018-05,7,0.0005967783338080125,-5431.331107946138
2018-05,8,0.0006811886405991251,-5790.570896545131
2018-05,9,0.000874050556800455,-6045.547827337229
2018-05,10,0.0007129499905351956,-6215.220032408155
2018-05,11,0.0007049866271921518,-6363.286040608741
2018-05,12,0.0009615108565435328,-6521.769231410468
2018-06,1,0.00024124739342498182,-2.3085267307918436
2018-06,2,0.0003104647824310469,-4.172589174386773
2018-06,3,0.00046210704099869555,-9.861358986263117
2018-06,4,0.0005315110880385367,-2208.8141392198836
2018-06,5,0.0007064504159812243,-3784.8488669334038
2018-06,6,0.0007966976302543225,-4707.989700614286
2018-06,7,0.000883752086994696,-5414.23918007671
2018-06,8,0.0010738773388008298,-5756.936876947498
2018-06,9,0.0009168634585147387,-6040.400354188641
2018-06,10,0.0009100614869456216,-6209.809713999093
2018-06,11,0.0011632067965234739,-6368.29290480082
2018-06,12,0.001156131406520722,-6537.814632351552
2018-07,1,0.00013162065886637882,-0.8841994083395532
2018-07,2,0.000432027729291567,-2.485416591459906
2018-07,3,0.0005438361740628672,-10.573522647489257
2018-07,4,0.0007156049220335969,-2170.357301513671
2018-07,5,0.0008084406626625252,-3746.296365600275
2018-07,6,0.0008974570287183024,-4644.057298623937
2018-07,7,0.0010850647498024733,-5327.35521340712
2018-07,8,0.0009340397863553357,-5702.81243869431
2018-07,9,0.0009297018276100957,-5986.01307067498
2018-07,10,0.0011804179481784594,-6166.551776747798
2018-07,11,0.00117442630580683,-6336.07350429853
2018-07,12,0.0012095637805224681,-6505.5044223359
2018-08,1,0.00036162576781153914,-0.6213541478649767
2018-08,2,0.0006342232611864715,-1.4171710996206917
2018-08,3,0.0008427855010891146,-7.368786171971611
2018-08,4,0.0009346998725909611,-2167.0569014112375
2018-08,5,0.0010347500933390128,-3709.782264567133
2018-08,6,0.0012248006779622058,-4581.7429782666495
2018-08,7,0.0010767223866565614,-5310.6193673683065
2018-08,8,0.0010735041816808517,-5685.813747395023
2018-08,9,0.001323041122131531,-5983.348462113576
2018-08,10,0.001325423387184816,-6175.637868596625
2018-08,11,0.001367364410586121,-6345.068786633995
2018-08,12,0.0015448042843515014,-6503.551977435722
2018-09,1,0.00034007283443214867,-0.17203574711341085
2018-09,2,0.0006919906360747133,-2.03609819070834
2018-09,3,0.0008257503119232712,-7.8920496361434385
2018-09,4,0.0009267509341732054,-2128.6691546548914
